disc,mean_1,cov_1,mean_2,cov_2,prob_1,prob_2,subdivision,alpha,power,timehorizon,arrival_rate, seed,method_name,dw_cost,pw_cost,dist_cost,total_cost
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,11,star,0.006990241145302181,1.6611256144112132,192.2096211019417,193.87773695749823
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,12,nostar,0.0313994571971265,0.2888826784914207,271.51501041808984,271.8352925537784
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,12,star,0.0313994571971265,0.2888826784914207,271.51501041808984,271.8352925537784
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,13,nostar,2.76346233342929,7.365402045024643e-05,114.55949968764241,117.32303567509216
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,13,star,2.76346233342929,7.365402045024643e-05,114.55949968764241,117.32303567509216
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,14,nostar,0.18993967603092315,0.2908304244849955,263.1252443473322,263.60601444784817
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,14,star,0.18993967603092315,0.2908304244849955,263.1252443473322,263.60601444784817
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,15,nostar,1.1159826327339026,0.003702367296488927,252.78926138152698,253.90894638155737
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,15,star,1.1159826327339026,0.003702367296488927,252.78926138152698,253.90894638155737
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,16,nostar,1.0065786495558107,0.0007074602236063537,163.83365751300119,164.8409436227806
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,16,star,1.0065786495558107,0.0007074602236063537,163.83365751300119,164.8409436227806
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,17,nostar,2.073318064488553,0.00020334125248521771,256.83059420087477,258.9041156066158
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,17,star,2.073318064488553,0.00020334125248521771,256.83059420087477,258.9041156066158
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,18,nostar,0.20172292319576154,0.1373839831241645,360.9721000515448,361.3112069578647
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,18,star,0.20172292319576154,0.1373839831241645,360.9721000515448,361.3112069578647
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,19,nostar,0.0367978530629082,1.354768437062179,234.7213677101824,236.1129340003075
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,19,star,0.0367978530629082,1.354768437062179,234.7213677101824,236.1129340003075
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,20,nostar,0.9332347118213915,0.0005035246889953355,231.56316336788612,232.4969016043965
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,20,star,0.9332347118213915,0.0005035246889953355,231.56316336788612,232.4969016043965
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,21,nostar,1.2606587337025168,0.000131039722469782,167.52798164940936,168.78877142283434
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,21,star,1.2606587337025168,0.000131039722469782,167.52798164940936,168.78877142283434
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,22,nostar,0.5800138836571701,0.08965142773315654,252.06408170537566,252.733747016766
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,22,star,0.5800138836571701,0.08965142773315654,252.06408170537566,252.733747016766
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,23,nostar,2.00985968701043,0.18253651832845072,136.31449311429228,138.50688931963117
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,23,star,2.00985968701043,0.18253651832845072,136.31449311429228,138.50688931963117
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,24,nostar,5.94954898468898e-05,1.7716669564338992,129.0341946777108,130.80592112963453
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,24,star,5.94954898468898e-05,1.7716669564338992,129.0341946777108,130.80592112963453
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,25,nostar,0.2064240721606279,1.8117914878792147,170.44768124996622,172.46589681000606
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,25,star,0.2064240721606279,1.8117914878792147,170.44768124996622,172.46589681000606
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,26,nostar,0.2184117874103193,0.08076580644974082,297.64882352415054,297.9480011180106
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,26,star,0.2184117874103193,0.08076580644974082,297.64882352415054,297.9480011180106
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,27,nostar,2.736716103613461,0.000904229689417743,156.35312636307646,159.09074669637934
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,27,star,2.736716103613461,0.000904229689417743,156.35312636307646,159.09074669637934
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,28,nostar,0.8816644152840212,0.004618853602892053,163.64926362203258,164.53554689091948
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,28,star,0.8816644152840212,0.004618853602892053,163.64926362203258,164.53554689091948
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,29,nostar,1.968778977076051,6.752027431190216e-05,199.28781597812716,201.25666247547753
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,29,star,1.968778977076051,6.752027431190216e-05,199.28781597812716,201.25666247547753
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,30,nostar,5.218929833444316e-05,1.8139378545068408,143.01697586881582,144.830965912621
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,30,star,5.218929833444316e-05,1.8139378545068408,143.01697586881582,144.830965912621
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,31,nostar,0.03142219488018975,0.39171728220920626,315.13605547447094,315.55919495156036
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,31,star,0.03142219488018975,0.39171728220920626,315.13605547447094,315.55919495156036
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,32,nostar,0.07335411579457178,0.6535992322441042,241.84855449545424,242.57550784349291
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,32,star,0.07335411579457178,0.6535992322441042,241.84855449545424,242.57550784349291
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,33,nostar,2.3774220385755034,0.000640921500709793,130.46019135471715,132.83825431479337
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,33,star,2.3774220385755034,0.000640921500709793,130.46019135471715,132.83825431479337
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,34,nostar,0.055253498782089586,0.5354440439873187,301.09500268950353,301.68570023227295
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,34,star,0.055253498782089586,0.5354440439873187,301.09500268950353,301.68570023227295
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,35,nostar,5.8860209252811065e-05,3.8051995380020376,101.61572805567656,105.42098645388785
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,35,star,5.8860209252811065e-05,3.8051995380020376,101.61572805567656,105.42098645388785
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,36,nostar,0.00034249401610618197,4.5977819002735165,100.06948295835937,104.667607352649
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,36,star,0.00034249401610618197,4.5977819002735165,100.06948295835937,104.667607352649
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,37,nostar,0.0574133582349124,2.341678968777392,178.31930423324735,180.71839656025966
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,37,star,0.0574133582349124,2.341678968777392,178.31930423324735,180.71839656025966
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,38,nostar,3.100779693911659,0.0008285889303733146,137.89687516199479,140.9984834448368
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,38,star,3.100779693911659,0.0008285889303733146,137.89687516199479,140.9984834448368
